unit_id,article_title,article_content,source,date
1923848179,Syria air raids kill 25 civilians Monitor,Syria air raids kill 25 civilians Monitor AFP Friday 1 Jul 2016 Separate air raids in northern Syria by regime aircraft and warplanes of the US-led international coalition killed at least 25 civilians on Friday a monitoring group said. President Bashar al-Assads air force attacked a crowded market in Aleppo citys rebel-held district of Tariq al-Bab killing 11 people the Syrian Observatory for Human Rights reported. Another five people were killed in an air raid on the southern rebel-held neighbourhood of Sheikh Said it said. The Britain-based monitor said rebel bombardment of government-held districts killed two civilians in the city that has been divided since July 2012. It also said a coalition raid on the northern city of Manbij where US-backed fighters are battling the Islamic State jihadist group killed two women and their seven children. Kurdish and Syrian Arab fighters have been advancing on Manbij an important waypoint between the Turkish border and Raqa the jihadists de facto capital. The conflict in Syria has killed more than 280000 people over the past five years and displaced millions from their homes.,ahram,7/1/16
1962495705,Syrian Army Units Kill over 70 Terrorists in Hama Province,Wed Oct 12 2016 Syrian Army Units Kill over 70 Terrorists in Hama Province. Syrian army troops have killed more than 70 Takfiri terrorists and injured 30 others during its anti-terror military offensive in the western province of Hama. The fatalities were caused on Wednesday in the Kawkab village of the provinces Hama District. Arabic-language news website Syria Now identified one of the wounded as Hannan Abu Laith the military commander of the Jabhat Fath al-Sham (The Conquest of Syria Front) terror outfit formerly known as al-Nusra Front. Syrian forces also destroyed some tanks and military vehicles used by Takfiri militants in the same province. The official Syrian Arab News Agency meanwhile reported that the Syrian air force had targeted Takfiri militants across the northwestern Aleppo province including the Khan Tuman village killing a large number of them. File photo shows terrorists with Jabhat Fath al-Sham formerly known as al-Nusra Front It added that the army killed and injured a number of operatives tied to Jabhat Fath al-Sham in southwestern Daraa Province. A number of artillery positions belonging to Takfiri terrorists were also destroyed in Latakia Province located in Syrias northwest the countrys Defense Ministry announced. Separately unknown gunmen injured a number of civilians in mortar attacks close to Umayyad Mosque and the Mezzeh neighborhood in the capital Damascus. Since 2011 the country has found itself in the clutches of foreign-backed militancy which has so far killed hundreds of thousands and displaced millions. SSH 11,alalam,10/16/16
1923102875,Syrian airbase struck by US missiles Whats the damage?,"Date of publication 7 April 2017 A salvo of US cruise missiles have severely damaged a Syrian regime airbase that was used as a launchpad for a devastating chemical attack on an opposition village in Idlib. Tags Shayrat cruise missiles US Homs Idlib Khan Sheikhun Fifty nine US cruise missiles struck a Syrian regime airbase in Homs province early Friday morning which appears to have caused severe damage to the infamous military site. Shayrat Airfield was allegedly the launch pad for a devastating chemical attack on an Idlib village that left up to a hundred civilians dead including scores of women and children. A potent symbol of regime oppression the airfield has been used for countless air raids on civilian targets and the second largest airbase in Syria. It now appears to be inoperable after sustaining severe damage from the Tomahawk cruise missiles launched by two US destroyers. ""All aircraft located there have been damaged you can say it is completely destroyed"" regime TV reported while state news agency SANA said that six people were killed in the attack. Pro-regime media have reported that 15 regime fighter planes were destroyed and the Syrian Observatory for Human Rights said Sukhoi-22s Sukhoi-24s and MiG-23s were based there. [click to enlarge] Russia was given prior warning by the US which likely prevented the killing of large numbers of air and ground crew but it appears some were caught by the missiles. Dozens of regime personnel were reported killed or injured in the attack with damage to air defences housing for officers and a fuel depot according to the observatory. Although it appears the airfield will no longer be used for more bombings by regime planes the regime still has many options while Russia still maintains the huge Hmeimem airbase in Latakia. The brief lull in regime bombing should still provide some relief for the civilians of Idlib. Read Also",alaraby,4/7/17
1965511188,Over 20 Nusra Terrorists Killed in Hama,01-06-2016 Over 20 Nusra Terrorists Killed in Hama. Terrorist organizations are receiving more strikes by the armys air force while the army units continue targeting the organizations sites and movements Terrorist organizations are receiving more strikes by the armys air force while the army units continue targeting the organizations sites and movements with the operations leaving many terrorists dead and their weapons and equipment destroyed. Hama Syrian Army units clashed with terrorist groups affiliated to al-Nusra (Qaeda branch in the Levant) and the so called Ahrar al-Sham Islamic Movement attacked military posts on the axes of al-Zakat Haseria and al-Latamina in the northern countryside of Hama province. A military source said the clashes ended with foiling the attack and killing at least 20 terrorists in addition to destroying their weapons and ammunition. Homs In the neighboring Homs province the armys air force launched a series of airstrikes on hideouts and fortifications of ISIL terrorists in Homs eastern countryside. Three pick-up vehicles equipped with machineguns were destroyed in Jbab Hamad village and a truck transporting terrorists and weapons was hit in Dabet al-Mella village 50 km east of Homs city. The armys air force hit positions and movements of ISIL terrorists in Abed Hill and east of Jebb al-Jarrah. Damascus Countryside An army unit in cooperation with popular defense groups operating in Harfa village foiled an attack attempt by al-Nusra terrorists on a military post in the southwestern countryside of Damascus. The military source explained to SANA reporter that the army unit clashed with the terrorists killing and injuring a number of them and destroying their weapons. The source noted that the fleeing terrorists opened machine gun fire on houses in Harfa village causing material damage to some of them. Deir Ezzor The Syrian armys air force hit gatherings and vehicles equipped with machineguns belonging to ISIL terrorists to the southeast of the Panorama area located on the southwestern outskirts of Deir Ezzor city. ,manar,2/2/16
1962495656,More Than 100 Jeish Al Fatah Terrorists Killed by Syrian Army in Aleppo,Fri Jul 1 2016 More Than 100 Jeish Al Fatah Terrorists Killed by Syrian Army in Aleppo. Jeish al-Fatah coalition of terrorist groups has lost over one hundred militants in the battle against the Syrian Army troops and NDF in al Mallah Farms Northwest of Aleppo Province during the last five days Several sources confirmed. A majority Jeish al-Fatah casualties occurred when the Syrian Air Force and artillery units surprised the terrorists in flash operations as they were preparing to stage a major attack on the pro-government forces in the region a military source said. The source added that the terrorists planned to break the Syrian Armys defense lines in al-Mallah Farms and recapture the just-liberated areas using car bombs in a similar move to their modus operandi seen in Khan Touman but the car bombs were targeted and exploded well before they were deployed to the front lines. The Syrian Army troops and popular forces have managed to push the terrorist groups back from nearly 90 percent of al-Mallah Farms while clashes between the government forces and terrorists in the area reached a pinnacle on Thursday. The operations of the Syrian army in Western Aleppo have culminated five days after their start and intense fighting was reported between the Syrian army and terrorist groups Northwest of Aleppo city. 12,alalam,11/13/12
1923848244,Syria troops kill at least 50 jihadists near Lebanon Monitor,Syria troops kill at least 50 jihadists near Lebanon Monitor AFP Saturday 2 Aug 2014 At least 50 jihadists from the Islamic State and Al-Nusra Front were killed overnight by Syrian troops backed by Lebanese Hezbollah fighters near the Lebanese border a monitor said Saturday. The Syrian Observatory for Human Rights said the jihadists clashed throughout Friday night and into Saturday morning with the regime troops and allied forces in the Qalamun region by the Lebanese border.,ahram,8/16/14
1962495675,15 Syrian Civilians 3 Children Killed in Aleppo by US Airstrikes Report,Wed Jun 1 2016 15 Syrian Civilians 3 Children Killed in Aleppo by US Airstrikes Report. At least 15 civilians including three children have been killed in northern Syria in US airstrikes purportedly targeting ISIS positions in the Arab country a report says. The so-called Syrian Observatory for Human Rights (SOHR) said Wednesday that the attacks had occurred in the city of Manbij in Aleppo Province during the past 24 hours. The airstrikes came a day after the White house said the US government was following up on press reports about alleged Russian airstrikes in Syria with civilian casualties. The observatory and the Reuters news agency said on Tuesday that at least 23 people had been killed in Russian airstrikes in the militant-held city of Idlib including one near a hospital. Russian Defense Ministry spokesman Major General Igor Konashenkov denied the reports. We urge people to remain critical of any horror stories spread by the British tandem of the Syrian Observatory for Human Rights and Reuters news agency he said. Elsewhere in northern Syria thousands of troops from a Kurdish-Arab alliance are launching an attack to capture from Daesh a crucial swathe of the region known as the Manbij pocket following weeks of quiet preparations US officials told Reuters. The Pentagon has reportedly deployed more than 200 special forces troops alongside the Syrian Democratic Forces (SDF) a coalition of Kurdish Arab Assyrian Armenian and Turkmen fighters. The Observatory said that the forces captured16 villages from Daesh and advanced to within nine miles on Manbij. Meanwhile Turkish military forces shelled northern Syria claiming to have targeted positions of the ISIS Takfiri terrorist group in the war-torn Arab country. The Turkish General Staff said in a statement on Wednesday that at least 14 members of the terrorist group were killed during the shelling on the city of Aleppo. The state-run Anadolu Agency citing military officials said Wednesday the strikes destroyed a tank two mortar positions a building used as headquarters and three vehicles belonging to the terrorists. The report which could not be independently verified said the air raids came after Turkeys military had determined that Daesh militants were preparing to attack the Turkish territory from the region. Cross-border fire from Syria has claimed 21 lives and wounded dozens of others in the border town of Kilis south central Turkey this year. Turkey itself stands accused of supporting Takfiri militants in Syria. Al-Qaeda-linked al-Nusra Front and other Takfiri terrorists hold most of the northwestern province of Idlib and parts of neighboring Aleppo province. On Sunday Associated Press said Nusra Front has used a March ceasefire to recruit thousands of militants including teenagers who had used the Turkish border to slip into Syria. It is illustrating how the ceasefire put in place by Russia and the United States to weaken the militants has in many ways backfired the news agency said. Since March Nusra Front has recruited 3000 new militants including teenagers in comparison to an average of 200 to 300 a month before AP quoted SOHR as saying. Other sources said hundreds living in camps for displaced people in the northern parts near Turkey have joined the al-Qaeda branch Press TV reported. 212,alalam,8/16/12
1965495379,Syrian Army Eliminates Over 75 Nusra Front Militants in Southern City of Daraa,"Syrian Army Eliminates Over 75 Nusra Front Militants in Southern City of Daraa Sputnik Michael Alaeddin Middle East 1449 09.04.2017Get short URL 1285 The Syrian armys units eliminated over 75 Nusra Front militants including the suicide bombers and foreign mercenaries from Saudi Arabia and Jordan in Daraas Manshiyah district according to a military source. DAMASCUS (Sputnik) The Syrian government forces eliminated over 75 militants of the Jabhat Fatah al Sham terrorist group (formerly known as Nusra Front banned in Russia) in Syrias southern city of Daraa a military source told Sputnik Sunday. ""The Syrian armys units eliminated over 75 Nusra Front militants including the suicide bombers and foreign mercenaries from Saudi Arabia and Jordan in Daraas Manshiyah district"" the source said. Syria has been in a state of civil war for six years with government forces fighting against Syrian opposition groups striving to overthrow President Bashar Assad and numerous extremist and terrorist groups such as the Islamic State (ISIL or Daesh outlawed in Russia) and Jabhat Fatah al Sham. ... 285 Related Syrian Army Eliminates 2200 al-Nusra Front Terrorists in Hama Since March 23 Only 1 Out of 15 Terror Groups Operating in Syrias Homs Linked to Nusra Front Syrian Army Liberates Kokab in Hama Province From Nusra Militants Syrian Army Repels Ex-Nusra Front Attacks in Eastern Damascus Tags Syrian crisis Syrian Armed Forces Al-Nusra Front Syria Community standardsDiscussion Comment via FacebookComment via Sputnik News",sputnik,4/9/17
1923848315,29 rebels dead in Syria premature car bomb blast NGO - Region - World - Ahram Online,"29 rebels dead in Syria premature car bomb blast NGO AFP Sunday 6 Apr 2014 At least 29 rebels died in a blast in the city of Homs in central Syria on Sunday as they primed a car bomb for an attack an NGO said. In the capital meanwhile two people were killed when mortar fire struck the Damascus Opera House. The Syrian Observatory for Human Rights said at least 29 rebels were killed in the besieged Old City of Homs when a car bomb exploded. ""The death toll is likely to rise because there are dozens of people missing and body parts in the area of the blast"" the Britain-based group said. State news agency SANA also reported the blast saying a car had exploded while being loaded with explosives. The blast took place on the outskirts of the besieged Old City of Homs which is under rebel control. Some 1400 civilians were able to leave the area this year under UN supervision but an estimated 1500 people remain until the army siege. In the capital SANA said two people were killed in mortar fire by rebel fighters. ""Two people were killed and five wounded by a mortar round that hit the Damascus Opera House"" near key government and military buildings on Umayyad Square it said. The attack damaged the Opera House which was inaugurated by President Bashar al-Assad in 2004. Mortar fire also wounded three people in the Abbasids neighbourhood of northeast Damascus SANA said. On Saturday mortar rounds struck near the Russian embassy said the Syrian Observatory. The rebel fire on Damascus comes as government forces step up a campaign to crush insurgents in its eastern suburbs the Observatory said.",ahram,4/5/14
1965511105,Extremists in Syria Admit Killing 30 Alawites,"6-09-2013 Extremists in Syria Admit Killing 30 Alawites . Al-Qaeda-affiliated extremists in Syria announced they are targeting members of the Alawite community in the country Al-Qaeda-affiliated extremists in Syria announced they are targeting members of the Alawite community in the country adding that they massacred dozens of Alawites in three Homs villages last week. On Sunday terrorist group Al-Nusra Front claimed responsibility for Tuesdays attacks in which at least 30 Alawites including several women children and elderly men were shot dead in cold blood. Al-Nusra said in an internet statement that its militants entered the villages of Massudiyeh Maksar al-Hissan and Jab al-Jerah in Homs province and carried out the massacre. The group said one of its jurists asked them to slay Alawites whom he called ""enemies of God"". "" this was the first time these villages were entered and such a high number was killed"" it added. Last month Abu Mohammad al-Golani a commander of al-Nusra threatened to target Alawites with rockets. ""On top of that we will prepare a thousand rockets that will be fired on their towns in revenge for the Damascus Ghouta massacre"" he said in an audio recording posted on YouTube on August 25. ",manar,9/16/13
1965495354,US-led Coalition Kills Over 20 Daesh Operatives Plotting Terrorist Attacks,"20.07.2016Get short URL 0 55 US Secretary of Defense Ashton Carter said that the US-led anti-Daesh coalition killed key Daesh ministers and captured one of the principals of the terrorist groups chemical weapons program. Sputnik Dmitriy Vinogradov Syrian Airstrikes Kill Over 100 Daesh Fighters in Hama Province WASHINGTON (Sputnik) The US-led anti-Daesh coalition has killed more than twenty Islamic State (ISIL or Daesh) operatives who were actively developing plans to launch terrorist attacks abroad US Secretary of Defense Ashton Carter said on Wednesday. ""Weve killed over 20 of ISILs [Islamic State] external operators who were actively plotting to attack our homelands and personnel Carter stated according to his prepared remarks at a joint ministerial meeting distributed by the Pentagon. Carter also noted that the anti-Daesh coalition has also killed key Daesh ministers and captured one of the principals of the terrorist groups chemical weapons program. AP Photo Senior Airman Matthew Bruch US Air Force US-Led Coalition Launches 31 Airstrikes Against Daesh in Iraq Syria Wherever local forces have moved in Iraq and Syria Carter added the coalition has taken out Daesh field commanders and is continuing to attack its oil infrastructure. The Islamic State also known as Daesh in Arabic is a terrorist group that controls territory in Iraq and Syria and it outlawed in the United States Russia and a plethora of other nations. ... 55 Related Greater EU Intel Sharing in Face of Daesh Threat Complicated - Expert US-Backed Forces Capture Daesh Syria Headquarters at Hospital in Manbji At Least 70 Kosovars Reportedly Fight for Daesh in Iraq Syria US-Led Coalition Launches 31 Airstrikes Against Daesh in Iraq Syria Tags Daesh Ashton Carter United States Community standardsDiscussion Comment via FacebookComment via Sputnik News",sputnik,7/20/16
